simulation,central_beta_0,central_beta_1,central_beta_2,central_beta_3,central_beta_4,local_beta_0,local_beta_1,local_beta_2,local_beta_3,local_beta_4
0,2.3388336713928197,-1.8321989334644766,3.1772052783126936,0.47856700180141315,-0.7239777879476601,2.3388336713928197,-1.8321989334644773,3.177205278312693,0.4785670018014135,-0.7239777879476591
1,2.5430936429990147,-1.8184925170573818,3.2079156199451724,0.5532904318364484,-0.7035363105991581,2.5430936429990125,-1.818492517057382,3.2079156199451715,0.5532904318364483,-0.7035363105991566
2,2.4397296363403798,-1.8530981967159712,3.1009859888931715,0.38178962313630527,-0.691512401391787,2.43972963634038,-1.8530981967159708,3.1009859888931715,0.38178962313630543,-0.6915124013917864
3,2.428520893601978,-1.7913872021301982,3.181983476363119,0.47928177283126855,-0.7964693876331291,2.428520893601978,-1.791387202130199,3.18198347636312,0.479281772831269,-0.7964693876331297
4,2.5888010217477726,-1.8125757449402826,3.2113493412266285,0.4695448436731608,-0.7630101704408889,2.588801021747771,-1.8125757449402826,3.2113493412266294,0.46954484367316096,-0.763010170440889
5,2.6358257013722297,-1.7909210990034425,3.168003311522157,0.38893687137289235,-0.7294537223836511,2.635825701372231,-1.7909210990034428,3.1680033115221575,0.3889368713728924,-0.7294537223836511
6,2.5367137256444057,-1.7725780465742924,3.156393807409891,0.471937461567854,-0.5682890576919953,2.5367137256444057,-1.7725780465742926,3.1563938074098923,0.4719374615678541,-0.5682890576919953
7,2.3888714817068424,-1.6952975401858452,3.1409563322378093,0.3728382086657058,-0.7873984699887991,2.388871481706843,-1.6952975401858446,3.140956332237806,0.3728382086657059,-0.7873984699887983
8,2.442283528270755,-1.843811093560833,3.1451044710615577,0.5604531641445153,-0.6962209564056276,2.4422835282707553,-1.8438110935608325,3.145104471061557,0.5604531641445152,-0.6962209564056282
9,2.486461721787538,-1.7825277294897857,3.1647857588684194,0.5521413625084326,-0.6735403435497532,2.486461721787538,-1.7825277294897848,3.1647857588684194,0.5521413625084325,-0.6735403435497535
10,2.567963566680783,-1.7603599439769417,3.2005025426242453,0.5504875132251383,-0.6647162524973231,2.567963566680781,-1.7603599439769413,3.200502542624247,0.5504875132251383,-0.6647162524973216
11,2.457210447283955,-1.7324955468891674,3.1504492518514247,0.45136136381946373,-0.6998195913667051,2.4572104472839547,-1.7324955468891683,3.1504492518514255,0.45136136381946385,-0.6998195913667057
12,2.6124539287343036,-1.83755389755524,3.324231247926627,0.44940118615868596,-0.742471636611425,2.612453928734305,-1.8375538975552381,3.324231247926626,0.44940118615868596,-0.7424716366114246
13,2.5948834465770108,-1.8311350613680788,3.0918258123336306,0.5565521418374287,-0.5497221650346218,2.59488344657701,-1.8311350613680786,3.0918258123336315,0.5565521418374282,-0.5497221650346223
14,2.441282613838789,-1.7274921293093985,3.18987665492602,0.475389749809999,-0.6257524491444277,2.4412826138387898,-1.7274921293093992,3.1898766549260213,0.4753897498099993,-0.6257524491444278
15,2.3840982535732067,-1.8526538063121232,3.201399552436792,0.4436194905281237,-0.6711794327228949,2.3840982535732067,-1.8526538063121234,3.2013995524367935,0.44361949052812377,-0.6711794327228945
16,2.4043098960513642,-1.8510713339610554,3.2228203888217415,0.6541743589314396,-0.6931798943700749,2.404309896051366,-1.8510713339610547,3.222820388821742,0.6541743589314396,-0.6931798943700737
17,2.4440576520490023,-1.7842985605246309,3.165843997992939,0.514738230658425,-0.6453584462020825,2.444057652049003,-1.7842985605246295,3.165843997992941,0.5147382306584247,-0.6453584462020814
18,2.3960405171596766,-1.8855221949701861,3.0865593744353,0.4185537288916564,-0.6841155698172602,2.3960405171596766,-1.8855221949701864,3.0865593744353004,0.4185537288916563,-0.6841155698172586
19,2.5214567277042392,-1.7934235838694168,3.208422127148138,0.6042024738188209,-0.6695918850134785,2.5214567277042375,-1.7934235838694166,3.2084221271481375,0.6042024738188214,-0.6695918850134771
